"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"MIR181A1HG",33.8223019617045,1.98487786410002,0.217176915405304,5.75658375923994e-20,6.46989301058153e-19,"100131234"
"TOP2A",537.891185056878,2.76757411055614,0.313914426287931,5.96872801657251e-20,6.69778783137165e-19,"7153"
"POLQ",131.751897208248,2.1826901718107,0.243269883983869,6.46958048853645e-20,7.20324772004164e-19,"10721"
"HRIHFB2017",2957.02548809034,1.728329624171,0.193259686204187,6.50189627981253e-20,7.23171473612983e-19,NA
"FCER1G",1848.74878804149,1.94121011525354,0.21798739895789,6.57737669831423e-20,7.31187317297557e-19,"2207"
"ZDHHC23",198.529470309619,1.39563009671924,0.154358889175349,6.66534095591183e-20,7.39814479416718e-19,"254887"
"PLXNC1",2873.29832294827,1.64631291556196,0.183969270633563,6.89558595770532e-20,7.62999968154353e-19,"10154"
"CTSS",12400.9992549111,1.89950335548379,0.21319761699121,6.90376040786365e-20,7.63510303517759e-19,"1520"
"HLA-DPA1",16674.307550299,2.11813941160938,0.238445488684427,6.99362293243514e-20,7.72651135623105e-19,"3113"
"AGA",412.414682337545,1.23448492904179,0.137248089941358,7.02417589885113e-20,7.75626800824711e-19,"175"
"CRTAM",64.6793198117233,2.46141431225896,0.276070026627762,7.18567977658103e-20,7.92643719256106e-19,"56253"
"TPK1",289.495496104189,1.17183602388515,0.129568154290509,7.30150463455221e-20,8.04592024845026e-19,"27010"
"PDCD1LG2",512.644922985192,1.96050681141131,0.221242286237888,7.80284882602041e-20,8.56315713712726e-19,"80380"
"SRP54",1182.31683343536,1.0715769786128,0.118644724764105,7.81772836751773e-20,8.57509580864931e-19,"6729"
"SDC1",1018.19946097233,3.67158343867644,0.419752539222301,7.83307555663046e-20,8.58753495679083e-19,"6382"
"TRAT1",80.6628977210355,3.12229376175585,0.349227957030363,8.0293441148377e-20,8.78473366071038e-19,"50852"
"ZNF93",142.927948731385,1.28784437045932,0.141796241873317,8.05337072963581e-20,8.80652524736144e-19,"81931"
"FAM111B",101.260457053784,2.77490506957754,0.31261175666312,8.48733109887657e-20,9.23864740691831e-19,"374393"
"NMI",620.902420947844,1.26006272594101,0.140643424017575,9.84262727633548e-20,1.06168611179516e-18,"9111"
"ABHD3",474.693477987,1.46919985307514,0.163664777920634,1.01979525457332e-19,1.09835536137035e-18,"171586"
"GABPB1",431.283700729077,1.02590083160786,0.113935720479317,1.03418715158444e-19,1.11106432179996e-18,"2553"
"SNORA74A",1813.97923978346,2.69385906060324,0.306542729805797,1.05579231352523e-19,1.13313954210246e-18,"26821"
"WDR74",192584.18134714,2.3551644256605,0.267645727696647,1.1604618981651e-19,1.24485384701565e-18,"54663"
"MIS12",447.27779736485,1.13128787085363,0.124608616318336,1.17142697582556e-19,1.25473235246722e-18,"79003"
"MEI1",213.981328221587,2.90066708763344,0.330734232266795,1.17372412470246e-19,1.25656489334405e-18,"150365"
"FASTKD3",215.46098512463,1.08022990403833,0.119205445036908,1.18207667203093e-19,1.26361343200194e-18,"79072"
"E2F5",120.283284247414,2.56188426330258,0.289953022330509,1.19391359013526e-19,1.27499501631136e-18,"1875"
"ANKRD44",2295.14570160581,1.45567137982559,0.163157219204445,1.2059024596969e-19,1.28651604871497e-18,"91526"
"GIMAP2",610.477358878208,1.47520379361602,0.165511360270141,1.21539459559995e-19,1.2940661881517e-18,"26157"
"CAPZA1",3600.50674876132,1.24639090667612,0.139417958985721,1.22788406538327e-19,1.30671495399005e-18,"829"
"LOC100507463",409.593893729918,1.4704985814754,0.164733547320232,1.35495838500628e-19,1.43766450820988e-18,NA
"MGAT4A",3246.69673169445,1.53682771911134,0.172903441551163,1.37920211596567e-19,1.46245231865254e-18,"11320"
"SELT",2195.84984825357,1.4101828509676,0.158657894298374,1.5653439408276e-19,1.64946001395073e-18,NA
"EDEM1",2690.61125244112,1.20877017906429,0.13542667780306,1.57037109363734e-19,1.65394415970168e-18,"9695"
"AK289390",104.117215856378,2.02259744506117,0.229232490783379,1.73510084435935e-19,1.81406909254409e-18,NA
"DENND1B",1412.9120046368,1.19067004364449,0.133672406252715,1.92715316011463e-19,2.0138797504016e-18,"163486"
"BST1",216.827005176446,1.28753369876695,0.145189982169319,2.08937406734957e-19,2.17915106498799e-18,"683"
"ATP6AP2",3362.52820283241,1.06883662676543,0.120145472717335,2.45984477708567e-19,2.55559152240801e-18,"10159"
